	chr6_122707000_122708000
V1	0.139236791071561
V2	0.015417749990953
V3	0.0333676732725021
V4	0.133460120483833
V5	0.454802884370844
V6	0.544843567220106
V7	0.0403142185682782
V8	0.776302327841312
V9	0.105696463200104
V10	0.302119345670632
V11	0.0458027699391234
V12	0.270369217669058
V13	0.680217888075723
V14	0.0408967892929641
V15	0.5385449460993
V16	0.312607726813094
V17	0.0841683492129101
V18	0.396459771438953
V19	0.0465143147936498
V20	0.0524195515564461
V21	0.0332540788264838
V22	0.0491741613325585
V23	0.144632750336818
V24	0.0219441135438753
V25	0.0372706080052135
V26	0.139632644651828
V27	0.715080545197212
V28	0.0478134557557395
V29	0.19274513667485
V30	0.331254794763602
V31	0.0375776582394325
V32	0.0382793947782144
V33	0.319719500618746
V34	0.0124926678581991
V35	0.170620438965619
V36	0.270661156402544
V37	0.0782611126632853
V38	0.482831919639057
V39	0.0647868435833385
V40	0.0617750401469863
V41	0.493861562229531
V42	0.357855354112649
V43	0.0292876621517611
V44	0.0582635231356814
V45	0.0345427011286751
V46	0.269401705070818
V47	0.0242482636879191
V48	0.0235855377619495
V49	0.0862220833190482
V50	0.0499504474029774
V51	0.0156921098143368
V52	0.0189474184015332
V53	0.0577990764321147
V54	0.0814079223404952
V55	0.0564261687153895
V56	0.102381993258222
V57	0.165176747118026
V58	0.0673462094486557
V59	0.393667015194124
V60	0.641253606860306
V61	0.637935587208993
V62	0.0509039660241765
V63	0.306441058708269
V64	0.0257805465090713
V65	0.146867406740935
V66	0.0350560110574422
V67	0.313692068014867
V68	0.542916086448346
V69	0.252401279910251
V70	0.272336209460135
